Gemeente;Provincie;Verdachten per 10 000 inwoners
Capelle aan den IJssel;Zuid-Holland;99
Delft;Zuid-Holland;84
Dordrecht;Zuid-Holland;111
Goeree-Overflakkee;Zuid-Holland;58
Gorinchem;Zuid-Holland;77
Gouda;Zuid-Holland;98
s-Gravenhage;Zuid-Holland;148
Hardinxveld-Giessendam;Zuid-Holland;53
Hellevoetsluis;Zuid-Holland;83
Hendrik-Ido-Ambacht;Zuid-Holland;52
Hillegom;Zuid-Holland;71
Hoeksche Waard;Zuid-Holland;58
Kaag en Braassem;Zuid-Holland;67
Katwijk;Zuid-Holland;64
Krimpen aan den IJssel;Zuid-Holland;65
Krimpenerwaard;Zuid-Holland;63
Lansingerland;Zuid-Holland;64
Leiden;Zuid-Holland;82
Leiderdorp;Zuid-Holland;59
Leidschendam-Voorburg;Zuid-Holland;94
Lisse;Zuid-Holland;58
Maassluis;Zuid-Holland;86
Midden-Delfland;Zuid-Holland;45
Molenlanden;Zuid-Holland;58
Nieuwkoop;Zuid-Holland;57
Nissewaard;Zuid-Holland;113
Noordwijk;Zuid-Holland;65
Oegstgeest;Zuid-Holland;48
Papendrecht;Zuid-Holland;70
Pijnacker-Nootdorp;Zuid-Holland;70
Ridderkerk;Zuid-Holland;76
Rijswijk;Zuid-Holland;100
Rotterdam;Zuid-Holland;153
Schiedam;Zuid-Holland;121
Sliedrecht;Zuid-Holland;63
Teylingen;Zuid-Holland;58
Vlaardingen;Zuid-Holland;111
Voorschoten;Zuid-Holland;59
Waddinxveen;Zuid-Holland;66
Wassenaar;Zuid-Holland;74
Westland;Zuid-Holland;64
Westvoorne;Zuid-Holland;54
Zoetermeer;Zuid-Holland;114
Zoeterwoude;Zuid-Holland;45
Zuidplas;Zuid-Holland;64
Zwijndrecht;Zuid-Holland;81
Borsele;Zeeland;60
Goes;Zeeland;80
Hulst;Zeeland;84
Kapelle;Zeeland;64
Middelburg;Zeeland;95
Noord-Beveland;Zeeland;82
Reimerswaal;Zeeland;61
Schouwen-Duiveland;Zeeland;60
Sluis;Zeeland;72
Terneuzen;Zeeland;96
Tholen;Zeeland;50
Veere;Zeeland;41
Vlissingen;Zeeland;137
Alphen-Chaam;Noord-Brabant;29
Altena;Noord-Brabant;64
Asten;Noord-Brabant;63
Baarle-Nassau;Noord-Brabant;54
Bergeijk;Noord-Brabant;46
Bergen op Zoom;Noord-Brabant;88
Bernheze;Noord-Brabant;51
Best;Noord-Brabant;59
Bladel;Noord-Brabant;61
Boekel;Noord-Brabant;78
Boxtel;Noord-Brabant;67
Breda;Noord-Brabant;81
Cranendonck;Noord-Brabant;57
Deurne;Noord-Brabant;67
Dongen;Noord-Brabant;62
Drimmelen;Noord-Brabant;47
Eersel;Noord-Brabant;34
Eindhoven;Noord-Brabant;101
Etten-Leur;Noord-Brabant;66
Geertruidenberg;Noord-Brabant;61
Geldrop-Mierlo;Noord-Brabant;88
Gemert-Bakel;Noord-Brabant;69
Gilze en Rijen;Noord-Brabant;64
Goirle;Noord-Brabant;40
Halderberge;Noord-Brabant;65
Heeze-Leende;Noord-Brabant;53
Helmond;Noord-Brabant;125
's-Hertogenbosch;Noord-Brabant;92
Heusden;Noord-Brabant;67
Hilvarenbeek;Noord-Brabant;42
Laarbeek;Noord-Brabant;61
Land van Cuijk;Noord-Brabant;54
Loon op Zand;Noord-Brabant;50
Maashorst;Noord-Brabant;79
Meierijstad;Noord-Brabant;66
Moerdijk;Noord-Brabant;56
Nuenen, Gerwen en Nederwetten;Noord-Brabant;48
Oirschot;Noord-Brabant;49
Oisterwijk;Noord-Brabant;45
Oosterhout;Noord-Brabant;90
Oss;Noord-Brabant;95
Reusel-De Mierden;Noord-Brabant;49
Roosendaal;Noord-Brabant;89
Rucphen;Noord-Brabant;71
Sint-Michielsgestel;Noord-Brabant;40
Someren;Noord-Brabant;66
Son en Breugel;Noord-Brabant;64
Steenbergen;Noord-Brabant;49
Tilburg;Noord-Brabant;97
Valkenswaard;Noord-Brabant;76
Veldhoven;Noord-Brabant;59
Vught;Noord-Brabant;75
Waalre;Noord-Brabant;56
Waalwijk;Noord-Brabant;73
Woensdrecht;Noord-Brabant;46
Zundert;Noord-Brabant;40
Beek;Limburg;52
Beekdaelen;Limburg;44
Beesel;Limburg;38
Bergen;Limburg;57
Brunssum;Limburg;88
Echt-Susteren;Limburg;82
Eijsden-Margraten;Limburg;58
Gennep;Limburg;82
Gulpen-Wittem;Limburg;47
Heerlen;Limburg;146
Horst aan de Maas;Limburg;48
Kerkrade;Limburg;109
Landgraaf;Limburg;78
Leudal;Limburg;52
Maasgouw;Limburg;61
Maastricht;Limburg;78
Meerssen;Limburg;45
Mook en Middelaar;Limburg;45
Nederweert;Limburg;33
Peel en Maas;Limburg;38
Roerdalen;Limburg;60
Roermond;Limburg;98
Simpelveld;Limburg;51
Sittard-Geleen;Limburg;91
Stein;Limburg;61
Vaals;Limburg;49
Valkenburg aan de Geul;Limburg;58
Venlo;Limburg;96
Venray;Limburg;96
Voerendaal;Limburg;40
Weert;Limburg;75
